ID	Class Name
1	person
2	bicycle
3	car
4	motorcycle
5	airplane
6	bus
7	train
8	truck
9	boat
10	traffic light
11	fire hydrant
13	stop sign
14	parking meter
15	bench
16	bird
17	cat
18	dog
19	horse
20	sheep
21	cow
22	elephant
23	bear
24	zebra
25	giraffe
27	backpack
28	umbrella
31	couch
32	potted plant
33	bed
34	dining table
35	toilet
36	tv
37	laptop
38	mouse
39	remote
40	keyboard
41	cell phone
42	microwave
43	oven
44	toaster
45	sink
46	refrigerator
47	book
48	clock
49	vase
50	scissors
51	teddy bear
52	banana
53	apple
54	sandwich
55	orange
56	broccoli
57	carrot
58	hot dog
59	pizza
60	donut
61	cake
62	chair
63	couch (duplicate)
64	potted plant
65	bed
67	dining table
70	toilet
72	tv
73	laptop
74	mouse
75	remote
76	keyboard
77	cell phone
78	microwave
79	oven
80	toaster
81	sink
82	refrigerator
84	book
85	clock
86	vase
87	scissors
88	teddy bear
89	hair drier
90	toothbrush

COCO skips some IDs — it does not use 12, 26, 29, 30, etc. So class IDs are not contiguous.
